player_name,player_id,rank,change_type,pitch_type,estimated_usage_delta,predicted_outcome,predicted_change,n_historical_events,confidence_tier,method,fallback_values_used,exceeds_historical_precedent,is_high_usage_drop
"Verlander, Justin",434378,1,USAGE_INCREASE,ST,12.010000000000002,0.3074907340886115,-0.011509265911388511,62.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,2,ADD,FS,11.170000000000002,0.3085030003800331,-0.010496999619966918,40.0,Limited evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Verlander, Justin",434378,3,USAGE_INCREASE,SL,11.86,0.3096135327995758,-0.009386467200424187,176.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,4,ADD,SI,10.33,0.3112503795446813,-0.007749620455318684,159.0,Strong evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Verlander, Justin",434378,5,DROP,CH,-8.55,0.31276885640103763,-0.006231143598962374,92.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,6,DROP,CU,-14.29,0.3131732889658086,-0.005826711034191412,72.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,7,DROP,ST,-7.97,0.3139371995966448,-0.0050628004033552165,49.0,Limited evidence,weighted_regression,none,False,
"Verlander, Justin",434378,8,DROP,SL,-22.97,0.31555689216135296,-0.0034431078386470415,104.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,9,USAGE_DECREASE,FF,-12.72,0.31654327919873243,-0.0024567208012675756,480.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,10,USAGE_DECREASE,CH,-10.31,0.3171912163202178,-0.001808783679782211,77.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,11,USAGE_DECREASE,ST,-12.65,0.31746595774096964,-0.001534042259030366,73.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,12,USAGE_INCREASE,FF,11.38,0.31972748848142746,0.0007274884814274518,181.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,13,USAGE_DECREASE,SL,-11.36,0.31978059367497796,0.0007805936749779585,203.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,14,SWAP,CU -> FS,,0.3200301303782377,0.0010301303782376814,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Verlander, Justin",434378,15,USAGE_INCREASE,CH,10.830000000000002,0.3201988469488389,0.001198846948838872,79.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,16,SWAP,CU -> SI,,0.320209450583954,0.001209450583953997,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Verlander, Justin",434378,17,SWAP,CH -> FS,,0.3218135965160242,0.002813596516024197,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Verlander, Justin",434378,18,SWAP,CH -> SI,,0.3219362191273473,0.002936219127347317,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Verlander, Justin",434378,19,USAGE_INCREASE,CU,9.740000000000002,0.32271445726355874,0.0037144572635587347,41.0,Limited evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,20,ADD,FC,12.010000000000002,0.32480173328560696,0.005801733285606958,136.0,Strong evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Verlander, Justin",434378,21,USAGE_DECREASE,CU,-10.7,0.3272654795222212,0.008265479522221175,60.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Verlander, Justin",434378,22,NO_CHANGE,(none),0.0,0.32794605751403083,0.008946057514030825,,n/a,no_change_baseline,none,,
"Jansen, Kenley",445276,1,DROP,FC,-82.59,0.2551224533328529,-0.04587754666714711,66.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,2,SWAP,FC -> FS,,0.2912291567286533,-0.009770843271346696,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Jansen, Kenley",445276,3,SWAP,FC -> ST,,0.29165432241988826,-0.009345677580111733,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Jansen, Kenley",445276,4,USAGE_INCREASE,FC,10.829999999999998,0.3051983832392092,0.004198383239209236,71.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,True,
"Jansen, Kenley",445276,5,USAGE_INCREASE,SL,11.689999999999998,0.3059576160270392,0.004957616027039202,176.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,6,USAGE_INCREASE,SI,12.62,0.3088652196923707,0.007865219692370695,149.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,7,ADD,ST,13.77,0.3119637466262721,0.010963746626272086,124.0,Strong evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Jansen, Kenley",445276,8,USAGE_DECREASE,FC,-11.880000000000004,0.31257910069831996,0.011579100698319966,99.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,9,ADD,FS,11.170000000000002,0.31431198315412034,0.013311983154120355,40.0,Limited evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Jansen, Kenley",445276,10,ADD,CU,6.5200000000000005,0.31627036888230137,0.015270368882301377,63.0,Moderate evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Jansen, Kenley",445276,11,USAGE_DECREASE,SL,-11.35,0.31799479345795306,0.016994793457953072,203.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,12,SWAP,SL -> ST,,0.3198947565286179,0.018894756528617884,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Jansen, Kenley",445276,13,SWAP,SL -> FS,,0.3203755661756151,0.01937556617561509,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Jansen, Kenley",445276,14,USAGE_DECREASE,SI,-11.59,0.32161708611475354,0.020617086114753547,209.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,15,NO_CHANGE,(none),0.0,0.3223689754740989,0.021368975474098884,,n/a,no_change_baseline,none,,
"Jansen, Kenley",445276,16,DROP,SL,-7.04,0.3249485633291303,0.023948563329130312,104.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Jansen, Kenley",445276,17,ADD,CH,5.85,0.3249719263715138,0.023971926371513796,95.0,Moderate evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Jansen, Kenley",445276,18,ADD,FF,7.15,0.32831066374808965,0.02731066374808966,48.0,Limited evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Chavez, Jesse",445926,1,DROP,FC,-38.57,0.3142799206742008,-0.06872007932579921,66.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Chavez, Jesse",445926,2,SWAP,FC -> ST,,0.3185368705753986,-0.06446312942460142,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Chavez, Jesse",445926,3,SWAP,FC -> FF,,0.31872421046068344,-0.06427578953931656,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Chavez, Jesse",445926,4,ADD,FF,7.15,0.32529013014544333,-0.05770986985455667,48.0,Limited evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Chavez, Jesse",445926,5,SWAP,CH -> FF,,0.326062118451383,-0.05693788154861701,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Chavez, Jesse",445926,6,SWAP,CH -> ST,,0.3261021767952462,-0.056897823204753784,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Chavez, Jesse",445926,7,DROP,CH,-18.57,0.3266939144321398,-0.05630608556786021,155.0,Strong evidence,weighted_regression,none,False,
"Chavez, Jesse",445926,8,USAGE_DECREASE,CH,-10.46,0.3274692110269902,-0.05553078897300978,90.0,Moderate evidence,weighted_regression,none,False,
"Chavez, Jesse",445926,9,USAGE_INCREASE,SI,12.62,0.3348984632743159,-0.048101536725684124,149.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Chavez, Jesse",445926,10,ADD,ST,13.55,0.3358210318178235,-0.047178968182176484,124.0,Strong evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Chavez, Jesse",445926,11,ADD,FS,11.170000000000002,0.3368823767121373,-0.04611762328786273,40.0,Limited evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Chavez, Jesse",445926,12,ADD,SL,9.64,0.3403951861730814,-0.04260481382691861,116.0,Strong evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Chavez, Jesse",445926,13,USAGE_INCREASE,CH,10.830000000000002,0.3404508834024944,-0.0425491165975056,105.0,Moderate evidence,weighted_regression,none,False,
"Chavez, Jesse",445926,14,ADD,CU,6.449999999999999,0.3411805074379658,-0.04181949256203421,63.0,Moderate evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Chavez, Jesse",445926,15,NO_CHANGE,(none),0.0,0.3431561928764832,-0.03984380712351682,,n/a,no_change_baseline,none,,
"Chavez, Jesse",445926,16,USAGE_INCREASE,FC,10.829999999999998,0.3447177941498575,-0.038282205850142526,71.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Chavez, Jesse",445926,17,USAGE_DECREASE,FC,-11.87,0.345199944305303,-0.03780005569469702,99.0,Moderate evidence,weighted_regression_with_stage1_all_types,none,False,
"Chavez, Jesse",445926,18,USAGE_DECREASE,SI,-11.59,0.3470496368047961,-0.035950363195203894,209.0,Strong evidence,weighted_regression_with_stage1_all_types,none,False,
"Hill, Rich",448179,1,ADD,FS,10.27,0.3246119712336631,-0.06638802876633693,40.0,Limited evidence,weighted_regression_with_stage1_all_types,"distance (historical median), synergy (historical median)",False,
"Hill, Rich",448179,2,DROP,ST,-5.85,0.3264744256088135,-0.0645255743911865,49.0,Limited evidence,weighted_regression,none,False,
"Hill, Rich",448179,3,USAGE_INCREASE,ST,11.77,0.3270006992699281,-0.06399930073007193,80.0,Moderate evidence,weighted_regression,none,False,
"Hill, Rich",448179,4,DROP,FC,-15.79,0.3314563414677552,-0.0595436585322448,85.0,Moderate evidence,weighted_regression,none,False,
"Hill, Rich",448179,5,SWAP,FC -> FS,,0.33149702934911535,-0.05950297065088467,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Hill, Rich",448179,6,SWAP,FC -> CH,,0.33156711287829066,-0.059432887121709355,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
"Hill, Rich",448179,7,SWAP,ST -> FS,,0.33499189305362564,-0.05600810694637437,454.0,Strong evidence,swap_similarity_weighted_regression,none,False,
